,yardline_100,total_num_plays,drive_end_transition,num_plays_of_type,fraction_of_plays_at_yardline
0,1.0,660,BLOCKED_OR_MISSED_FG,0,0.0
1,1.0,660,BLOCKED_PUNT,0,0.0
2,1.0,660,DOWNS,12,0.01818181818181818
3,1.0,660,FIELD_GOAL,56,0.08484848484848485
4,1.0,660,PUNT,0,0.0
5,1.0,660,SAFETY,0,0.0
6,1.0,660,TOUCHDOWN,570,0.8636363636363636
7,1.0,660,TURNOVER,22,0.03333333333333333
8,2.0,347,BLOCKED_OR_MISSED_FG,0,0.0
9,2.0,347,BLOCKED_PUNT,0,0.0
10,2.0,347,DOWNS,12,0.0345821325648415
11,2.0,347,FIELD_GOAL,42,0.12103746397694524
12,2.0,347,PUNT,0,0.0
13,2.0,347,SAFETY,0,0.0
14,2.0,347,TOUCHDOWN,283,0.8155619596541787
15,2.0,347,TURNOVER,10,0.02881844380403458
16,3.0,318,BLOCKED_OR_MISSED_FG,1,0.0031446540880503146
17,3.0,318,BLOCKED_PUNT,0,0.0
18,3.0,318,DOWNS,7,0.0220125786163522
19,3.0,318,FIELD_GOAL,40,0.12578616352201258
20,3.0,318,PUNT,0,0.0
21,3.0,318,SAFETY,0,0.0
22,3.0,318,TOUCHDOWN,257,0.8081761006289309
23,3.0,318,TURNOVER,13,0.040880503144654086
24,4.0,368,BLOCKED_OR_MISSED_FG,2,0.005434782608695652
25,4.0,368,BLOCKED_PUNT,0,0.0
26,4.0,368,DOWNS,11,0.029891304347826088
27,4.0,368,FIELD_GOAL,62,0.16847826086956522
28,4.0,368,PUNT,0,0.0
29,4.0,368,SAFETY,0,0.0
30,4.0,368,TOUCHDOWN,274,0.7445652173913043
31,4.0,368,TURNOVER,19,0.051630434782608696
32,5.0,371,BLOCKED_OR_MISSED_FG,2,0.005390835579514825
33,5.0,371,BLOCKED_PUNT,0,0.0
34,5.0,371,DOWNS,11,0.029649595687331536
35,5.0,371,FIELD_GOAL,70,0.18867924528301888
36,5.0,371,PUNT,0,0.0
37,5.0,371,SAFETY,0,0.0
38,5.0,371,TOUCHDOWN,278,0.7493261455525606
39,5.0,371,TURNOVER,10,0.026954177897574125
40,6.0,387,BLOCKED_OR_MISSED_FG,5,0.012919896640826873
41,6.0,387,BLOCKED_PUNT,0,0.0
42,6.0,387,DOWNS,15,0.03875968992248062
43,6.0,387,FIELD_GOAL,86,0.2222222222222222
44,6.0,387,PUNT,0,0.0
45,6.0,387,SAFETY,0,0.0
46,6.0,387,TOUCHDOWN,267,0.689922480620155
47,6.0,387,TURNOVER,14,0.03617571059431524
48,7.0,348,BLOCKED_OR_MISSED_FG,3,0.008620689655172414
49,7.0,348,BLOCKED_PUNT,0,0.0
50,7.0,348,DOWNS,11,0.031609195402298854
51,7.0,348,FIELD_GOAL,87,0.25
52,7.0,348,PUNT,0,0.0
53,7.0,348,SAFETY,0,0.0
54,7.0,348,TOUCHDOWN,230,0.6609195402298851
55,7.0,348,TURNOVER,17,0.04885057471264368
56,8.0,377,BLOCKED_OR_MISSED_FG,6,0.015915119363395226
57,8.0,377,BLOCKED_PUNT,0,0.0
58,8.0,377,DOWNS,7,0.01856763925729443
59,8.0,377,FIELD_GOAL,119,0.3156498673740053
60,8.0,377,PUNT,0,0.0
61,8.0,377,SAFETY,0,0.0
62,8.0,377,TOUCHDOWN,228,0.6047745358090185
63,8.0,377,TURNOVER,17,0.04509283819628647
64,9.0,421,BLOCKED_OR_MISSED_FG,3,0.007125890736342043
65,9.0,421,BLOCKED_PUNT,0,0.0
66,9.0,421,DOWNS,15,0.035629453681710214
67,9.0,421,FIELD_GOAL,122,0.28978622327790976
68,9.0,421,PUNT,1,0.0023752969121140144
69,9.0,421,SAFETY,0,0.0
70,9.0,421,TOUCHDOWN,254,0.6033254156769596
71,9.0,421,TURNOVER,26,0.06175771971496437
72,10.0,361,BLOCKED_OR_MISSED_FG,2,0.00554016620498615
73,10.0,361,BLOCKED_PUNT,0,0.0
74,10.0,361,DOWNS,15,0.04155124653739612
75,10.0,361,FIELD_GOAL,118,0.3268698060941828
76,10.0,361,PUNT,0,0.0
77,10.0,361,SAFETY,0,0.0
78,10.0,361,TOUCHDOWN,206,0.5706371191135734
79,10.0,361,TURNOVER,20,0.055401662049861494
80,11.0,475,BLOCKED_OR_MISSED_FG,9,0.018947368421052633
81,11.0,475,BLOCKED_PUNT,0,0.0
82,11.0,475,DOWNS,17,0.035789473684210524
83,11.0,475,FIELD_GOAL,172,0.36210526315789476
84,11.0,475,PUNT,0,0.0
85,11.0,475,SAFETY,0,0.0
86,11.0,475,TOUCHDOWN,256,0.5389473684210526
87,11.0,475,TURNOVER,21,0.04421052631578947
88,12.0,434,BLOCKED_OR_MISSED_FG,10,0.02304147465437788
89,12.0,434,BLOCKED_PUNT,0,0.0
90,12.0,434,DOWNS,12,0.027649769585253458
91,12.0,434,FIELD_GOAL,149,0.3433179723502304
92,12.0,434,PUNT,2,0.004608294930875576
93,12.0,434,SAFETY,0,0.0
94,12.0,434,TOUCHDOWN,225,0.5184331797235023
95,12.0,434,TURNOVER,36,0.08294930875576037
96,13.0,426,BLOCKED_OR_MISSED_FG,13,0.03051643192488263
97,13.0,426,BLOCKED_PUNT,0,0.0
98,13.0,426,DOWNS,13,0.03051643192488263
99,13.0,426,FIELD_GOAL,138,0.323943661971831
100,13.0,426,PUNT,0,0.0
101,13.0,426,SAFETY,0,0.0
102,13.0,426,TOUCHDOWN,233,0.5469483568075117
103,13.0,426,TURNOVER,29,0.06807511737089202
104,14.0,441,BLOCKED_OR_MISSED_FG,12,0.027210884353741496
105,14.0,441,BLOCKED_PUNT,0,0.0
106,14.0,441,DOWNS,19,0.04308390022675737
107,14.0,441,FIELD_GOAL,131,0.29705215419501135
108,14.0,441,PUNT,2,0.0045351473922902496
109,14.0,441,SAFETY,0,0.0
110,14.0,441,TOUCHDOWN,239,0.5419501133786848
111,14.0,441,TURNOVER,38,0.08616780045351474
112,15.0,486,BLOCKED_OR_MISSED_FG,7,0.01440329218106996
113,15.0,486,BLOCKED_PUNT,0,0.0
114,15.0,486,DOWNS,16,0.03292181069958848
115,15.0,486,FIELD_GOAL,156,0.32098765432098764
116,15.0,486,PUNT,1,0.00205761316872428
117,15.0,486,SAFETY,0,0.0
118,15.0,486,TOUCHDOWN,278,0.5720164609053497
119,15.0,486,TURNOVER,28,0.05761316872427984
120,16.0,423,BLOCKED_OR_MISSED_FG,11,0.026004728132387706
121,16.0,423,BLOCKED_PUNT,0,0.0
122,16.0,423,DOWNS,23,0.054373522458628844
123,16.0,423,FIELD_GOAL,135,0.3191489361702128
124,16.0,423,PUNT,1,0.002364066193853428
125,16.0,423,SAFETY,0,0.0
126,16.0,423,TOUCHDOWN,227,0.5366430260047281
127,16.0,423,TURNOVER,26,0.061465721040189124
128,17.0,446,BLOCKED_OR_MISSED_FG,14,0.03139013452914798
129,17.0,446,BLOCKED_PUNT,0,0.0
130,17.0,446,DOWNS,20,0.04484304932735426
131,17.0,446,FIELD_GOAL,135,0.30269058295964124
132,17.0,446,PUNT,0,0.0
133,17.0,446,SAFETY,0,0.0
